aktivismi: aktivismi yleisesti;aktivismi: kaupungeilla tarkea rooli;aktivismi: nuorten sanoma;aktivismi: yhteiskunnan polarisaatio hankaloittaa ilmastotoimia;aktivismi: yrityksilla tarkea rooli;energia: aurinko;energia: energiatehokkuus yleisesti;energia: geoterminen;energia: maalampo;energia: puhtaat yleisesti;energia: puupohjaiset;energia: tuuli;energia: uusiutuvat yleisesti;energia: ydin;idea: antroposentrinen IM totta;idea: cleantech;idea: ilmastonmuokkaus teknisin keinoin;idea: ilmastopolitiikka suunniteltava politiikan eri lohkojen kokonaisuutena;idea: ilmastoraportointi tarkeaa;idea: ilmastotoimet tarkeita;idea: ilmastotoimien kiireellisyys;idea: IM osana kauppapolitiikkaa;idea: IM osana turvallisuuspolitiikkaa;idea: IM totta;idea: kansainvalinen yhteistyo;idea: keinot IM torjumiseksi olemassa;idea: koyhien maiden rahoitus;idea: lisaa tutkimustietoa;idea: luotettava tutkimustieto;idea: oikeudenmukaisuus paastovahennyksissa maiden valilla;idea: reilu siirtyma;idea: suomelle nakyva rooli kansainvalisissa ilmastoneuvotteluissa;idea: tiukemmat tavoitteet ja niiden mukaiset toimet;idea: vahva johtajuus;liikenne: (bio-)kaasuautot;liikenne: biokerosiini;liikenne: biopolttoaineet yleisesti;liikenne: joukkoliikenne, kavely, pyoraily;liikenne: romutuspalkkio;liikenne: sahkoautot;metsat: hakkuiden rajoitus valtion mailla;metsat: hakkuutaso korkeintaan nykyisellaan;metsat: hiilinieluille erilliset tavoitteet;metsat: kompensointi puita istuttamalla;metsat: metsien kyky sitoa hiilta heikkenee IM kiihtyessa;metsat: metsitys;metsat: pitkaikaiset puutuotteet ja puurakentaminen;metsat: selkea muutos maa- ja metsatalouskaytannoissa;metsat: suojelualan kasvattaminen yleisesti;metsat: taloudellinen kannustin hiilensidontaan yksityismailla;metsat: turvemaiden ennallistaminen;saantely: hiilitullit;saantely: IM torjunta edellyttaa kansainvalista lainsaadantoa;saantely: julkiset tuet innovaatiotoimintaan;saantely: julkiset tuet puhtaille energiamuodoille;saantely: julkiset tuet sahko- ja (bio-)kaasuautoille;saantely: lentovero;saantely: myyntikielto bensiini- ja dieselmoottoreille;saantely: paastojen verotus yleisesti;saantely: paastokauppa;saantely: paastoleikkausten kulujen korvaus;saantely: pariisin sopimus tarkea toimi;saantely: ylijaaneet paasto-oikeudet mitatoitava;seuraukset: ilmastoahdistus vakava ilmio;seuraukset: IM torjunta linjassa eriarvoisuuden torjunnan kanssa;seuraukset: kiihdyttaa muita ongelmia;seuraukset: negatiiviset saa- ja luonnonilmiot;seuraukset: negatiiviset sosiaaliset;seuraukset: negatiiviset taloudelliset;talous: biotalous;talous: ilmastotoimet luovat talouskasvua;talous: ilmastotutkimukselle turvattava rahoitus;talous: jatkuvan kasvun tavoittelu;talous: kiertotalous;talous: kilpailukyky > ilmastotoimet;talous: kulutustapojen muutos;talous: markkinat > saantely;talous: markkinoiden toiminta ja ennakoitavuus;talous: vastuullinen sijoittaminen;aktivismi: ilmastolakkoN;energia: fossiiliset yleisestiN;energia: kivihiiliN;energia: musta hiiliN;energia: oljyN;energia: puupohjaisetN;energia: turveN;energia: ydinN;idea: ilmastonmuokkaus teknisin keinoinN;idea: ilmastotoimien kiireellisyysN;idea: IM osana turvallisuuspolitiikkaaN;idea: tiukemmat tavoitteet ja niiden mukaiset toimetN;metsat: hakkuutaso korkeintaan nykyisellaanN;metsat: selkea muutos maa- ja metsatalouskaytannoissaN;saantely: lentoveroN;saantely: myyntikielto bensiini- ja dieselmoottoreilleN;saantely: paastojen verotus yleisestiN;saantely: ymparistolle haitalliset tuetN;seuraukset: negatiiviset taloudellisetN;talous: jatkuvan kasvun tavoitteluN;talous: kilpailukyky > ilmastotoimetN;talous: markkinat > saantelyN
FI128;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FI095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;2;0;0;0;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;5;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
FI087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FI010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FI025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FI048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FI053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0
FI056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FI074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FI078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FI130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FI021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FI093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FI029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
FI127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FI082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
FI088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
FI013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FI142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
FI086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FI052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
